Timestamp,ServoFuelPercentageTarget,ServoOxidizerPercentageTarget,ServoFuelPercentageCurrent,ServoOxidizerPercentageCurrent,PressureFuel,PressureOxidizer,PressureChamber,TemperatureChamber
-10,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-10,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-9.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-8.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-7.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.4,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.3,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.2,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.1,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-6.0,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.9,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.8,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.7,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.6,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
-5.5,0,0,-107.0,187.0,-8.7561,-8.7561,-8.7561,-69.12
